loggingTime,loggingSample,identifierForVendor,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,label
1563194056.165141,1,0,65397.651226875,-1.330652065150026,0.008786679062515108,0.02259750287791566,0.0008330745622515678,-0.000944036990404129,0.001168940332718194,0.0002815853804349899,0.0004647113382816315,0.01093661785125732,2,0.01160052418708801,-0.00351860374212265,-0.6172312498092651,0.7866883873939514,0.008784322999417782,-0.02259557880461216,-0.9997060894966125,1.468826293945312,45.92013931274414,-60.51055908203125,2,0
1563194056.178295,2,0,65397.68616987501,-1.330667117019549,0.008787844852690156,0.02263446595470542,0.0007829964160919189,-9.144097566604614e-05,-0.0002354132011532784,-0.000238373875617981,0.0001659654080867767,0.01131725311279297,2,0.01161539554595947,-0.003529641544446349,-0.6172369718551636,0.7866836190223694,0.008785480633378029,-0.0226325336843729,-0.9997052550315857,1.545829772949219,45.78814315795898,-60.54638671875,2,0
1563194056.203849,3,0,65397.721142875,-1.330677558846312,0.008780335243731079,0.02256116131392039,-0.002372577786445618,0.0002005398273468018,9.959039743989706e-05,0.000196363776922226,0.0007335655391216278,0.01600342988967896,2,0.01158422790467739,-0.003510029520839453,-0.6172415018081665,0.7866806387901306,0.008777988143265247,-0.02255924791097641,-0.9997069835662842,1.616317749023438,45.79180526733398,-60.564453125,2,0
1563194056.236504,4,0,65397.75608487501,-1.330686601551746,0.008765574934641121,0.02257394640950116,0.0015711416490376,-0.0003644935786724091,-0.0009711867314763367,0.0003637056797742844,-3.18530946969986e-05,0.01368391513824463,2,0.01158468518406153,-0.003519834019243717,-0.617245078086853,0.7866777777671814,0.008763229474425316,-0.02257202938199043,-0.9997068047523499,1.52349853515625,45.92425155639648,-60.6319580078125,2,0
1563194056.27205,5,0,65397.791058875,-1.330707372056255,0.008760779492521248,0.02256926779096297,-0.001387597061693668,0.001481236889958382,0.00041727046482265,0.0001548752188682556,-0.0002959296107292175,0.01157838106155396,2,0.01158132869750261,-0.003520396770909429,-0.617253303527832,0.7866713404655457,0.00875843595713377,-0.02256735228002071,-0.9997069835662842,1.601272583007812,45.82843399047852,-60.7120361328125,2,0
1563194056.30179,6,0,65397.825970875,-1.330719052887053,0.008735242729114618,0.02255235302414065,0.0001583392731845379,0.001133818179368973,-0.001500681159086525,-0.00105556845664978,3.812089562416077e-05,0.01505798101425171,2,0.01156677398830652,-0.003525287611410022,-0.6172581315040588,0.7866677641868591,0.008732910268008709,-0.02255044132471085,-0.9997075796127319,1.521591186523438,46.07651138305664,-60.66729736328125,2,0
1563194056.353812,7,0,65397.86094387501,-1.330733529767252,0.008733032763194058,0.0225484602652503,-0.0008585695177316666,0.001541644334793091,0.0006700125522911549,0.0002741534262895584,-0.0005913786590099335,0.01582103967666626,2,0.01156453508883715,-0.003525038482621312,-0.6172638535499573,0.7866633534431458,0.008730702102184296,-0.0225465502589941,-0.9997076988220215,1.55255126953125,45.93532943725586,-60.60528564453125,2,0
1563194056.36757,8,0,65397.895885875,-1.330757766542073,0.008718003997814677,0.02253234289528998,-1.410441473126411e-05,-0.0007522255182266235,-0.001383921131491661,0.0002433937042951584,-0.0009279176592826843,0.01424986124038696,2,0.0115535156801343,-0.003526116022840142,-0.6172735691070557,0.7866557836532593,0.008715680800378323,-0.02253043651580811,-0.9997081756591797,1.502479553222656,46.11197280883789,-60.40814208984375,2,0
1563194056.416257,9,0,65397.895885875,-1.330757766542073,0.008718003997814677,0.02253234289528998,-1.410441473126411e-05,-0.0007522255182266235,-0.001383921131491661,0.0002433937042951584,-0.0009279176592826843,0.01424986124038696,2,0.0115535156801343,-0.003526116022840142,-0.6172735691070557,0.7866557836532593,0.008715680800378323,-0.02253043651580811,-0.9997081756591797,1.502479553222656,46.11197280883789,-60.40814208984375,2,0
1563194056.433973,10,0,65397.93085987501,-1.330778046891194,0.008731757557291527,0.02253699548815409,-8.76355916261673e-05,-0.0002527162432670593,-0.00113593996502459,0.001450350508093834,3.803707659244537e-05,0.01270848512649536,2,0.0115595543757081,-0.003522259183228016,-0.617281436920166,0.7866495847702026,0.008729428984224796,-0.02253508754074574,-0.9997079372406006,1.378372192382812,46.07265090942383,-60.56939697265625,2,0
