loggingTime,loggingSample,identifierForVendor,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,label
1562614496.383544,1,0,309759.810211625,0.2183270778597436,0.1620159355020213,0.2820579524065951,0.2738602161407471,0.6684730052947998,0.4665637314319611,0.1099603474140167,0.07004421949386597,0.136408805847168,2,0.1305386573076248,0.09490268677473068,0.118817962706089,0.9797120094299316,0.1549339294433594,-0.2783328592777252,-0.9479062557220459,22.02424621582031,-14.11639595031738,-29.9586181640625,2,1
1562614496.392992,2,0,309759.845123625,0.2272819165418295,0.1649279912926338,0.3079142829862865,1.016897559165955,-0.4698778390884399,0.2852715849876404,0.08057209849357605,0.08068609237670898,0.3364237546920776,2,0.1426127105951309,0.09820148348808289,0.124224491417408,0.9770293831825256,0.1564594805240631,-0.3030716776847839,-0.9400361776351929,22.45563697814941,-15.18524742126465,-29.24478149414062,2,1
1562614496.427151,3,0,309759.880096625,0.2273390606337247,0.1224989373130631,0.3504173184874748,1.1589515209198,-1.310588717460632,0.2021089792251587,-0.01379446685314178,0.05228894948959351,0.2329818606376648,2,0.1660273522138596,0.07961950451135635,0.1220800429582596,0.9752907752990723,0.1147670820355415,-0.3432897925376892,-0.9321913123130798,21.07068252563477,-16.86408042907715,-29.3720703125,2,1
1562614496.459009,4,0,309759.915009625,0.2436050309170556,0.09749709940569114,0.3714900794515955,0.1454290449619293,-0.1320364326238632,0.5863615274429321,-0.06408405303955078,0.07562139630317688,0.1691467761993408,2,0.1772739440202713,0.06994833052158356,0.1282023191452026,0.9732654094696045,0.09070271998643875,-0.3630042672157288,-0.9273623824119568,19.91858100891113,-18.02823829650879,-29.30859375,2,1
1562614496.509257,5,0,309759.949982625,0.2625606963500275,0.09514629060638821,0.3624664913157088,-0.3965314626693726,0.09595921635627747,0.3566939234733582,0.02180367708206177,-0.02882546186447144,0.1826820373535156,2,0.1723664253950119,0.06994157284498215,0.137111708521843,0.9729328751564026,0.08883000165224075,-0.3545815348625183,-0.9307959675788879,19.58738899230957,-18.28585624694824,-29.49334716796875,2,1
1562614496.524827,6,0,309759.984894625,0.2696045309481515,0.08479146576978071,0.3562122954993147,-0.09487180411815643,-0.3714644908905029,0.07942872494459152,0.02859081327915192,-0.04615536332130432,0.1476119160652161,2,0.169795036315918,0.06512286514043808,0.1395902335643768,0.9733670353889465,0.07937344163656235,-0.3487268090248108,-0.9338573217391968,19.4736270904541,-18.05135536193848,-29.72488403320312,2,1
1562614496.559414,7,0,309760.019867625,0.2739125350988339,0.07478597833050461,0.3612314766633994,0.2750199139118195,-0.1128515601158142,0.1878861337900162,0.02078262716531754,-0.0006381869316101074,0.1331895589828491,2,0.1728078424930573,0.0609399788081646,0.1408663988113403,0.972923755645752,0.06989426910877228,-0.3534264862537384,-0.9328475594520569,18.91044616699219,-18.56932258605957,-29.68658447265625,2,1
1562614496.59073,8,0,309760.054810625,0.2837227586279264,0.06229147190454802,0.3647428471322354,-0.1453882455825806,-0.4680916368961334,0.2690673172473907,0.007695838809013367,-0.06266295909881592,0.05527675151824951,2,0.1751233786344528,0.05594627559185028,0.1445649117231369,0.9722669124603271,0.05815603211522102,-0.3567090630531311,-0.9324036240577698,18.77579879760742,-19.1747875213623,-29.57745361328125,2,1
1562614496.624713,9,0,309760.089752625,0.2888502021513696,0.03320254544839672,0.3483807262511952,-0.6033048629760742,-0.8069800138473511,0.01225557364523411,0.0596764050424099,-0.0478610098361969,-0.1901894807815552,2,0.1691297441720963,0.04111914336681366,0.1445731222629547,0.9740652441978455,0.03120222687721252,-0.3413762450218201,-0.9394087195396423,17.76389694213867,-18.81928825378418,-30.29067993164062,2,1
1562614496.668535,10,0,309760.124695625,0.2904319400489802,0.02437937912387869,0.3279841322915819,-0.5166116952896118,0.1083041280508041,0.05953080579638481,0.0228189155459404,-0.01415565609931946,-0.236484169960022,2,0.1597874313592911,0.03552194312214851,0.144723117351532,0.9758388996124268,0.02307751774787903,-0.3221352696418762,-0.9464123249053955,17.91489028930664,-18.32828330993652,-30.47830200195312,2,1
1562614496.690613,11,0,309760.159668625,0.2894937907359967,0.01910933515966971,0.3061525025476338,-0.747078537940979,-0.4039599895477295,-0.168256089091301,0.001676227897405624,-0.1119726896286011,-0.2679150700569153,2,0.1495156288146973,0.03133693337440491,0.1439904272556305,0.9777166843414307,0.01821964606642723,-0.3013922870159149,-0.9533261656761169,17.87065505981445,-18.03016471862793,-30.9901123046875,2,1
1562614496.722658,12,0,309760.194580625,0.276426130562531,0.007901862994816752,0.274869804261546,-0.9072914123535156,-0.3292855620384216,-0.4338899552822113,-0.005744241178035736,-0.02642172574996948,-0.3454188108444214,2,0.1351559013128281,0.02275152131915092,0.1370093822479248,0.981042206287384,0.007605152204632759,-0.2714216411113739,-0.962430477142334,17.48085403442383,-17.13670921325684,-31.80905151367188,2,1
1562614496.756403,13,0,309760.229553625,0.2672797787166417,0.02469942653438537,0.2542797549293778,-0.4128907024860382,0.8605653047561646,-0.1276844143867493,-0.03338056057691574,0.103605717420578,-0.1952188014984131,2,0.1240252554416656,0.02903402969241142,0.1337088197469711,0.9828005433082581,0.02390277944505215,-0.2515483796596527,-0.9675495028495789,18.16705513000488,-16.14418601989746,-32.10256958007812,2,1
1562614496.788542,14,0,309760.264465625,0.2698453296398581,0.05803972344286947,0.2489754709073517,-0.0228562168776989,0.823545515537262,0.09659205377101898,-0.08925867080688477,0.04909060895442963,0.03289932012557983,2,0.1191133633255959,0.0452246330678463,0.136986568570137,0.982344925403595,0.05621851608157158,-0.246411144733429,-0.9675334692001343,18.71756744384766,-15.98883247375488,-31.87185668945312,2,1
1562614496.829129,15,0,309760.299438625,0.2659821473696872,0.07058425548552275,0.2504159038560888,0.03566069528460503,0.1292178332805634,-0.2554048895835876,-0.09190668165683746,0.0647687166929245,0.07695937156677246,2,0.1190591230988503,0.05124828219413757,0.1358469277620316,0.9822139739990234,0.06832592934370041,-0.2478069067001343,-0.9663971066474915,20.10581970214844,-16.36823844909668,-31.204345703125,2,1
1562614496.854827,16,0,309760.299438625,0.2659821473696872,0.07058425548552275,0.2504159038560888,0.03566069528460503,0.1292178332805634,-0.2554048895835876,-0.09190668165683746,0.0647687166929245,0.07695937156677246,2,0.1190591230988503,0.05124828219413757,0.1358469277620316,0.9822139739990234,0.06832592934370041,-0.2478069067001343,-0.9663971066474915,20.10581970214844,-16.36823844909668,-31.204345703125,2,1
1562614496.903123,17,0,309760.334351625,0.2614853658102643,0.08648483159339924,0.2469415361435267,-0.1501071602106094,0.661567747592926,0.01409196387976408,-0.1436547935009003,0.1577601879835129,0.03607535362243652,2,0.1163991615176201,0.05857478082180023,0.1345356106758118,0.9823036193847656,0.08375677466392517,-0.244439423084259,-0.9660404324531555,20.82303237915039,-16.2814884185791,-31.13824462890625,2,1
1562614496.920121,18,0,309760.369324625,0.2767090827655306,0.1190424465113898,0.2463058781067366,0.01521917432546616,1.197309255599976,0.6086847186088562,-0.1262345612049103,0.1258631497621536,0.1344922780990601,2,0.1133107617497444,0.07538297772407532,0.1438642144203186,0.9801945090293884,0.1151772364974022,-0.2438229918479919,-0.9629561305046082,22.17467308044434,-16.42821311950684,-30.38763427734375,2,1
1562614496.954262,19,0,309760.404236625,0.3012216014865528,0.1416638601994397,0.2599165073377655,0.4980964362621307,0.5225074291229248,0.6799103021621704,-0.08566343784332275,0.04930427670478821,0.2080541253089905,2,0.117275096476078,0.08877710253000259,0.1574715375900269,0.9765079617500305,0.1364481151103973,-0.2569998502731323,-0.9567303657531738,22.80194473266602,-17.27679634094238,-29.48138427734375,2,1
1562614496.990041,20,0,309760.439209625,0.320756327910341,0.1706876301550029,0.2798215080817902,0.3484593033790588,1.421854019165039,0.6321734189987183,-0.1288283169269562,0.1079493463039398,0.2350059151649475,2,0.12368493527174,0.1055128052830696,0.1692901700735092,0.9720647931098938,0.1632532775402069,-0.2761841118335724,-0.9471381902694702,23.29728889465332,-17.65156745910645,-28.90884399414062,2,1
1562614497.02013,21,0,309760.474152625,0.3531691667726591,0.2454360122630276,0.2810832872283694,-0.398039847612381,2.839393854141235,0.9702895283699036,-0.1630445122718811,0.1034703254699707,0.2401390075683594,2,0.1155724674463272,0.1437409520149231,0.1895086765289307,0.9644004106521606,0.2334436923265457,-0.2773965895175934,-0.9319630861282349,25.1424617767334,-18.45233726501465,-27.22003173828125,2,1
