loggingTime,loggingSample,identifierForVendor,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,label
1562613903.715448,1,0,309167.144804125,-0.0331811969882992,0.04175637149444981,0.4926738710573477,0.0344943106174469,-0.1779737174510956,-0.1093558743596077,0.03113450482487679,0.01031965017318726,0.03927940130233765,2,0.2441023141145706,0.01619905978441238,-0.01099537964910269,0.9695518016815186,0.03677964955568314,-0.4729834496974945,-0.8803033232688904,115.9395904541016,-38.77455520629883,-24.77883911132812,0,2
1562613903.715958,2,0,309167.179777125,-0.03954296168448686,0.03205594597633715,0.4897900144337667,-0.1347366869449615,-0.3703862726688385,-0.171444371342659,0.006851891055703163,0.02181145548820496,0.02015888690948486,2,0.2426833659410477,0.01075328234583139,-0.01529271434992552,0.9699253439903259,0.02828233689069748,-0.4704405963420868,-0.8819782733917236,115.5226287841797,-38.26524353027344,-26.68106079101562,0,2
1562613903.746044,3,0,309167.214720125,-0.04377278357874016,0.02780705112061078,0.4866396414170142,-0.05440085753798485,-0.1130710244178772,-0.07613886147737503,-0.004466533660888672,0.03324654698371887,-0.008172154426574707,2,0.2411403059959412,0.008218239992856979,-0.01788913644850254,0.9702905416488647,0.02457574382424355,-0.4676582813262939,-0.8835676312446594,115.0343322753906,-36.77700042724609,-29.46011352539062,0,2
1562613903.790151,4,0,309167.214720125,-0.04377278357874016,0.02780705112061078,0.4866396414170142,-0.05440085753798485,-0.1130710244178772,-0.07613886147737503,-0.004466533660888672,0.03324654698371887,-0.008172154426574707,2,0.2411403059959412,0.008218239992856979,-0.01788913644850254,0.9702905416488647,0.02457574382424355,-0.4676582813262939,-0.8835676312446594,115.0343322753906,-36.77700042724609,-29.46011352539062,0,2
1562613903.812737,5,0,309167.249662125,-0.0442147133652763,0.02086697220762378,0.4900743218050029,0.184314101934433,-0.2725235223770142,0.02704576961696148,0.02180361934006214,0.03001222014427185,0.003791928291320801,2,0.2427436262369156,0.004756816197186708,-0.0189136378467083,0.9698944687843323,0.01840955018997192,-0.4706914722919464,-0.882105827331543,114.6018829345703,-36.63233184814453,-31.47219848632812,0,2
1562613903.844583,6,0,309167.2846230417,-0.04149648889088316,0.00668408592127505,0.4975529938978493,0.226705864071846,-0.3954558074474335,0.08016892522573471,0.02498717419803143,0.01866179704666138,9.465217590332031e-05,2,0.2462311387062073,-0.001869749627076089,-0.01928524859249592,0.9690174460411072,0.005873617250472307,-0.4772766530513763,-0.8787334561347961,111.9480285644531,-37.17312240600586,-32.48471069335938,0,2
1562613903.877927,7,0,309167.3195960417,-0.03602203982596604,-0.00628837081926464,0.5053744831406642,0.2152009755373001,-0.2073230743408203,0.1759672164916992,-0.01579177379608154,0.0280773937702179,-0.004537522792816162,2,0.2499101459980011,-0.007546450942754745,-0.01822397299110889,0.9680681228637695,-0.005502245854586363,-0.4841351509094238,-0.8749759197235107,110.4187927246094,-39.41693878173828,-34.13198852539062,0,2
1562613903.909918,8,0,309167.3545080417,-0.03348372122275488,-0.01073655131331516,0.5085031989147073,0.02538080886006355,-0.07386667281389236,-0.01897331327199936,-0.007531723007559776,-0.01079457998275757,-0.002597332000732422,2,0.2513952851295471,-0.009405616670846939,-0.0175526887178421,0.9676796197891235,-0.009377921000123024,-0.4868703782558441,-0.8734238743782043,110.4251098632812,-40.22351455688477,-34.46688842773438,0,2
1562613903.959831,9,0,309167.3894820417,-0.03613407894580167,-0.01031888690935477,0.5087990684659376,0.02864828146994114,-0.02912354096770287,-0.06555931270122528,-0.001474537886679173,0.005791336297988892,-0.009589016437530518,2,0.2515296936035156,-0.009539069607853889,-0.01878259144723415,0.9676202535629272,-0.00901163462549448,-0.4871287941932678,-0.8732836246490479,110.4440612792969,-40.33174514770508,-35.43569946289062,0,2
1562613903.975941,10,0,309167.4244240417,-0.03827730530053942,-0.01218919792838456,0.5146283074078479,0.2611774504184723,-0.1257098317146301,-0.06184272468090057,0.005237765610218048,0.01011747121810913,-0.006071925163269043,2,0.2543199360370636,-0.01076292525976896,-0.02005776204168797,0.9668521881103516,-0.010610138066113,-0.4922113418579102,-0.8704110383987427,109.2877044677734,-39.701904296875,-34.58865356445312,0,2
1562613904.009598,11,0,309167.4593970417,-0.04131839616924846,-0.01741702906003262,0.5286560853874207,0.4439483284950256,-0.1879426687955856,-0.08761682361364365,-0.01230060309171677,0.01147711277008057,0.005645990371704102,2,0.2610214054584503,-0.01380100101232529,-0.02221417240798473,0.9649786949157715,-0.01503859460353851,-0.5043733716011047,-0.8633547425270081,106.3750915527344,-39.91435241699219,-33.52523803710938,0,2
1562613904.041784,12,0,309167.4943090417,-0.04499221585427343,-0.02061693213286307,0.5417617827598109,0.313008725643158,-0.1433752328157425,-0.1216521188616753,-0.0189497210085392,0.01466232538223267,0.01510673761367798,2,0.2672749757766724,-0.01594857312738895,-0.02443041652441025,0.9631785154342651,-0.01766336709260941,-0.5156462788581848,-0.8566194772720337,105.3265533447266,-40.3475456237793,-33.26486206054688,0,2
